Course Code,Course Title,Meeting Info,Instructor,Seats Available,Max Enrollment,Additional Details,Paragraph Text
AMST 112-01 (10318),Introduction to African American Literature,Meeting: M W F  9:40 - 10:40 amMAIN 009,Instructor: Daylanne English,3,20,Cross-listed with ENGL 112-01,Cross-listed with ENGL 112-01
,,,,,,"In this introductory course, we will study African American literature from its origins to the present. We will study major genres and movements, including the Harlem Renaissance and Afrofuturism. We will learn to use the tools of literary analysis in order to read closely, critically, appreciatively—and collectively. Themes of solidarity, love, and joy will focus our study. Authors will include: Frederick Douglass, Langston Hughes, Zora Neale Hurston, James Baldwin, Ross Gay, and Janelle Monáe, among others. Requirements include: brief written responses to the readings, a presentation, an essay and a revision, and a final project. This course fulfills either the foundation course in literature requirement or the literature by U.S. writers of color requirement for the English major.
Humanities
U.S Identities and Differences, Writing WAhttps://macalester.bncollege.com/webapp/wcs/stores/servlet/TBListView?cm_mmc=RI-_-8345-_-1-_-A&catalogId=10001&storeId=89536&termMapping=Y&courseXml=%3C?xml%20version=%271.0%27%20encoding=%27UTF-8%27?%3E%3Ctextbookorder%3E%3Ccourses%3E%3Ccourse%20term=%27202410%27%20dept=%20%27AMST%27%20num=%27112%27%20sect=%2701%27%20/%3E%3C/courses%3E%3C/textbookorder%3E","In this introductory course, we will study African American literature from its origins to the present. We will study major genres and movements, including the Harlem Renaissance and Afrofuturism. We will learn to use the tools of literary analysis in order to read closely, critically, appreciatively—and collectively. Themes of solidarity, love, and joy will focus our study. Authors will include: Frederick Douglass, Langston Hughes, Zora Neale Hurston, James Baldwin, Ross Gay, and Janelle Monáe, among others. Requirements include: brief written responses to the readings, a presentation, an essay and a revision, and a final project. This course fulfills either the foundation course in literature requirement or the literature by U.S. writers of color requirement for the English major.
Humanities
U.S Identities and Differences, Writing WA"
AMST 194-01 (10073),Introduction to Asian American Studies,Meeting: M W F  1:10 - 2:10 pmMUSIC 219,Instructor: Jake Nagasawa,-4,16,Cross-listed with ASIA 194-01,Cross-listed with ASIA 194-01
,,,,,,"Varies by semester. Consult the department or class schedule for current listing.
Humanitieshttps://macalester.bncollege.com/webapp/wcs/stores/servlet/TBListView?cm_mmc=RI-_-8345-_-1-_-A&catalogId=10001&storeId=89536&termMapping=Y&courseXml=%3C?xml%20version=%271.0%27%20encoding=%27UTF-8%27?%3E%3Ctextbookorder%3E%3Ccourses%3E%3Ccourse%20term=%27202410%27%20dept=%20%27AMST%27%20num=%27194%27%20sect=%2701%27%20/%3E%3C/courses%3E%3C/textbookorder%3E","Varies by semester. Consult the department or class schedule for current listing.
Humanities"
AMST 194-F1 (10072),What’s After White Empire - And Is It Already Here?,Meeting:  T R   3:00 - 4:30 pmHUM 214,Instructor: Karin Aguilar-San Juan,0,14,First-Year course only; first day attendance required,First-Year course only; first day attendance required
,,,,,,"From the Philippine-American War (1898-1910) to the global uprisings of May 2020, white supremacy and US imperialism have marched hand-in-hand, buttressed by cultures of violence and literal guns and tanks. Yet cracks in the walls of racism and empire have also always existed, with gestures of solidarity and whole solidarity movements pushing forward with new possibilities and imagined futures. In this discussion-based course, we will look for the common threads that link David Fagen (Black U.S. army soldier who defected and joined the Philippine nationalists in 1899) to the Vietnam antiwar movement (1955-1975) and to Grace Lee Boggs (Chinese American philosopher activist based in Detroit, 1905-2015) along with many other individuals and events. Among the significant questions we will consider are: What makes an insurrectionist different from an ally or a rabble rouser or a survivalist? What lessons can be drawn from the global COVID pandemic and the Russian war in Ukraine? How can we replace a culture of violence with a culture of peace? Books and films include: The White Racial Frame (Joe Feagin), How to be an Anti-Racist (Ibram X. Kendi), ""Amigo"" (John Sayles), ""American Revolutionary"" (Grace Lee).
Humanities
Writing WAhttps://macalester.bncollege.com/webapp/wcs/stores/servlet/TBListView?cm_mmc=RI-_-8345-_-1-_-A&catalogId=10001&storeId=89536&termMapping=Y&courseXml=%3C?xml%20version=%271.0%27%20encoding=%27UTF-8%27?%3E%3Ctextbookorder%3E%3Ccourses%3E%3Ccourse%20term=%27202410%27%20dept=%20%27AMST%27%20num=%27194%27%20sect=%27F1%27%20/%3E%3C/courses%3E%3C/textbookorder%3E","From the Philippine-American War (1898-1910) to the global uprisings of May 2020, white supremacy and US imperialism have marched hand-in-hand, buttressed by cultures of violence and literal guns and tanks. Yet cracks in the walls of racism and empire have also always existed, with gestures of solidarity and whole solidarity movements pushing forward with new possibilities and imagined futures. In this discussion-based course, we will look for the common threads that link David Fagen (Black U.S. army soldier who defected and joined the Philippine nationalists in 1899) to the Vietnam antiwar movement (1955-1975) and to Grace Lee Boggs (Chinese American philosopher activist based in Detroit, 1905-2015) along with many other individuals and events. Among the significant questions we will consider are: What makes an insurrectionist different from an ally or a rabble rouser or a survivalist? What lessons can be drawn from the global COVID pandemic and the Russian war in Ukraine? How can we replace a culture of violence with a culture of peace? Books and films include: The White Racial Frame (Joe Feagin), How to be an Anti-Racist (Ibram X. Kendi), ""Amigo"" (John Sayles), ""American Revolutionary"" (Grace Lee).
Humanities
Writing WA"
AMST 203-01 (10646),Politics and Inequality: The American Welfare State,Meeting: M W F  9:40 - 10:40 amCARN 305,Instructor: Lesley Lavery,3,25,Cross-listed with POLI 203-01,Cross-listed with POLI 203-01
,,,,,,"The readings and assignments in this course are designed to help students understand how social policies and programs contribute to Americans’ lived experiences.  We will examine various theoretical justifications for the policies that constitute the American welfare state, then confront and dissect major strands of the American social safety net to better understand how political institutions and policy mechanisms contribute to both diversity and inequality in individuals’ social, economic and political outcomes (based in race, class, gender, dis/ability, region, political jurisdiction, etc.).
Social science
U.S Identities and Differences, Writing WAhttps://macalester.bncollege.com/webapp/wcs/stores/servlet/TBListView?cm_mmc=RI-_-8345-_-1-_-A&catalogId=10001&storeId=89536&termMapping=Y&courseXml=%3C?xml%20version=%271.0%27%20encoding=%27UTF-8%27?%3E%3Ctextbookorder%3E%3Ccourses%3E%3Ccourse%20term=%27202410%27%20dept=%20%27AMST%27%20num=%27203%27%20sect=%2701%27%20/%3E%3C/courses%3E%3C/textbookorder%3E","The readings and assignments in this course are designed to help students understand how social policies and programs contribute to Americans’ lived experiences.  We will examine various theoretical justifications for the policies that constitute the American welfare state, then confront and dissect major strands of the American social safety net to better understand how political institutions and policy mechanisms contribute to both diversity and inequality in individuals’ social, economic and political outcomes (based in race, class, gender, dis/ability, region, political jurisdiction, etc.).
Social science
U.S Identities and Differences, Writing WA"
AMST 205-01 (10842),Trans Theories and Politics,Meeting:  T R   3:00 - 4:30 pmMAIN 009,Instructor: Myrl Beam,-2,20,Cross-listed with WGSS 205-01,Cross-listed with WGSS 205-01
,,,,,,"From Caitlyn Jenner to Laverne Cox, CeCe MacDonald to Chelsea Manning, Transparent to Pose, trans people are experiencing unprecedented media coverage. In fact, some years ago now Time Magazine declared that we are at the ""transgender tipping point."" And yet, alongside this positive media coverage, we see a massive wave of legislation across the country seeking to limit trans people’s access to public space, to healthcare, and to self-determination. Alongside this, The National Coalition of Antiviolence Projects reports that 2020 saw a record number of murders of transgender individuals, in particular trans women of color. In all of these instances, it’s useful to consider how and why the specter of transness is raised. What social and political work does that figure do? This course will examine transness as a practice of gender transgression, rather than solely an identity category, one which is historically and geographically contingent. In this class, we will ask: What has gender non-conformity meant in various historical moments? How do race, class, gender, sexuality, and disability structure trans lives and communities? How have key institutions within the US constructed ideas about gender normativity and policed gender transgression? How has that policing impacted and shaped trans life? What is the relationship between feminism and trans people and trans liberation? How have trans people envisioned and fought for social justice? What space can trans embodiment and politics open up for new ways of living, relating, and imagining otherwise?
Social science
U.S Identities and Differences, Writing WAhttps://macalester.bncollege.com/webapp/wcs/stores/servlet/TBListView?cm_mmc=RI-_-8345-_-1-_-A&catalogId=10001&storeId=89536&termMapping=Y&courseXml=%3C?xml%20version=%271.0%27%20encoding=%27UTF-8%27?%3E%3Ctextbookorder%3E%3Ccourses%3E%3Ccourse%20term=%27202410%27%20dept=%20%27AMST%27%20num=%27205%27%20sect=%2701%27%20/%3E%3C/courses%3E%3C/textbookorder%3E","From Caitlyn Jenner to Laverne Cox, CeCe MacDonald to Chelsea Manning, Transparent to Pose, trans people are experiencing unprecedented media coverage. In fact, some years ago now Time Magazine declared that we are at the ""transgender tipping point."" And yet, alongside this positive media coverage, we see a massive wave of legislation across the country seeking to limit trans people’s access to public space, to healthcare, and to self-determination. Alongside this, The National Coalition of Antiviolence Projects reports that 2020 saw a record number of murders of transgender individuals, in particular trans women of color. In all of these instances, it’s useful to consider how and why the specter of transness is raised. What social and political work does that figure do? This course will examine transness as a practice of gender transgression, rather than solely an identity category, one which is historically and geographically contingent. In this class, we will ask: What has gender non-conformity meant in various historical moments? How do race, class, gender, sexuality, and disability structure trans lives and communities? How have key institutions within the US constructed ideas about gender normativity and policed gender transgression? How has that policing impacted and shaped trans life? What is the relationship between feminism and trans people and trans liberation? How have trans people envisioned and fought for social justice? What space can trans embodiment and politics open up for new ways of living, relating, and imagining otherwise?
Social science
U.S Identities and Differences, Writing WA"
