Course Code,Course Title,Meeting Info,Instructor,Seats Available,Max Enrollment,Additional Details
AMST 102-01 (30948),Reading Plays: Black Playwrights,Meeting: M W F  2:20 - 3:20 pmTHEATR 001,Instructor:,14,14,Cross-listed with ENGL 194-03 and THDA 112-01
AMST 200-01 (30002),Critical Methods for American Studies Research,Meeting:  T R   9:40 - 11:10 amTHEATR 101,Instructor: Kirisitina Sailiata,16,16,Permission of instructor required; first day attendance required
AMST 222-01 (30908),Imagining the American West,Meeting: M W F  10:50 - 11:50 amARTCOM 202,Instructor: Katrina Phillips,20,20,Cross-listed with HIST 222-01
AMST 226-01 (30413),American Indian History since 1871,Meeting: M W F  9:40 - 10:40 amMAIN 010,Instructor: Katrina Phillips,20,20,Cross-listed with HIST 226-01
AMST 229-01 (30415),Narrating Black Women’s Resistance,Meeting: M      7:00 - 10:00 pmMAIN 111,Instructor: Walter Greason,20,20,Cross-listed with HIST 229-01 and WGSS 229-01
AMST 235-01 (30418),"Captives, Cannibals, and Capitalists in Early Modern Atlantic World",Meeting: M W F  10:50 - 11:50 amMAIN 010,Instructor: Linda Sturtz,18,18,Cross-listed with HIST 235-01 and LATI 235-01
AMST 237-01 (30305),Environmental Justice,Meeting:  T R   1:20 - 2:50 pmOLRI 370,Instructor: Christie Manning,20,20,First day attendance required; cross-listed with ENVI 237-01
AMST 241-01 (30003),"Reclaiming Zen, Yoga and Church: Asian American Religions",Meeting:  T R   1:20 - 2:50 pmHUM 228,Instructor: Jake Nagasawa,15,15,Cross-listed with ASIA 241-01 and RELI 241-01; registration limit has been adjusted to save 5 seats for FYs
AMST 253-01 (30652),James Baldwin and the Black Religious Imagination,Meeting: M W F  1:10 - 2:10 pmMAIN 001,Instructor: William Hart,15,15,Cross-listed with RELI 253-01
AMST 268-01 (30008),American Culture in the Atomic Age,Meeting:  T R   3:00 - 4:30 pmARTCOM 102,Instructor: Kirisitina Sailiata,20,20,Cross-listed with ENVI 268-01; registration limit has been adjusted to save 5 seats for FYs
